item_id,tags,locale,region,tier,traits,content_summary
item_001dffdec4f9b958,"Home & Garden, Cosmetics & Beauty Supply, Perfume, Shopping, Beauty & Spas, Candle Stores",Tucson,AZ,-1,,"Tori who is the manager is a Btcih. Capital B. It's no 's fault you work retail at the mall. Don't take your bad day out on patrons of the store. Most unhelp | This is a sorry excuse for a store with safety procedures. While waiting in the extremely short (yet ungodly long) line I witnessed the ""greeter"" wiping sample | I cannot remember the young lady's name who helped me but she was here on 03/09/17 before 3 pm and I walked in with my 3 and soon to be 4 year old and asked her"
item_001e154551978885,"Bubble Tea, Food",Philadelphia,PA,2,RestaurantsTakeOut=True;RestaurantsDelivery=True;BusinessAcceptsCreditCards=True,I am so glad I was able to attend this elite event for Bubble tea tasting! Since I don't have a lot of experience with bubble tea/boba teas I got a friend along | My boyfriend and I drove by craving bubble tea so we stopped by. I really love interior design and re's a ton of seating // insta worthy pieces to take p | Went here to try out re brown sugar derrioca milk and I'm really surprised it was so good. I would definitely come back again and recommend it.
item_00221c71ceb6ae20,"Arts & Entertainment, Specialty Schools, Party & Event Planning, Paint-Your-Own Pottery, Shopping, Arts & Crafts, Summer Camps, Team Building Activities, Education, Art Schools, Art Classes, Bridal, Active Life, Venues & Event Spaces, Kids Activities, Local Flavor, Event Planning & Services",Tampa,FL,2,BusinessAcceptsCreditCards=True;GoodForKids=True;WiFi=u'no';BikeParking=True,"Had a blast! Great selection for all ages. Josie has patience of a saint, as we had never done this before. Great quality time with your loved ones. | Josie was great! My wife and I decided to try this out and I'm very glad we did. At first I was kind of skeptical about it, but as soon as we arrived Josie walk | I went for a bridal shower & we had a nice time. Many options to choose from as far as items to paint. If you were struggling ir was plenty of staff willing"
item_002768e64543ef56,"Printing Services, Local Services, Shipping Centers, Packing Supplies, Signmaking, Professional Services, Shopping",Tampa,FL,-1,BusinessAcceptsCreditCards=True,"The only saving grace is that they are open past 6pm. Other than that, be prepared to pay a sizeable amount of money for little-to-no service. I guess because t | Weren't very helpful. They don't ping labels, only.offered me a pen to write the return address too parking is confusing. No clear entrance to where t | Conveniently located in the heart of Tampa! Easy to walk in and whatever I needed. Missing two stars because I walked in and no one was there to greet yo"
item_0027a68a8978b6f2,"Pizza, Restaurants, Nightlife, Lounges, Mexican, Mediterranean, Bars, American (New), Tapas/Small Plates, Italian",Philadelphia,PA,2,RestaurantsTakeOut=False;RestaurantsDelivery=False;BusinessAcceptsCreditCards=True;OutdoorSeating=False;GoodForKids=False;WiFi=u'no',"I was here for the first time yesterday for the St. Patrick's Day funsies that occurred. Besides the place being sloppily covered in beer and fluffy green thing | 's not my faaavorite bar in the world, but it certainly isn't the worst one around. The music is typically pretty decent and the bartenders are heavy-hand | Rightfully, I have to give No Che a 3, even though we had a 5-star night there. This is because: The drinks were SO delicious and HARD. Very easy to get tras"
item_002c2ef34c7ec42f,"Burgers, Fast Food, Restaurants",Philadelphia,PA,1,RestaurantsTakeOut=True;RestaurantsDelivery=True;BusinessAcceptsCreditCards=True;OutdoorSeating=False;GoodForKids=True,How can a fast food chain BE so bad? Came here the other night and ordered cheeseburgers with fries and some drinks and our burgers legit had no tomato or lettu | Now I've been a fan of 's when I want a quick bite but this breakfast sandwich was very good. I also love that it is shaped in a square like their burgers. | Every time I order from here through Uber and door dash they mess up my order. Something from my order is always messing. Tonight was the last straw when they f
item_002e1bea60dcec6a,"Chinese, Hot Pot, Restaurants",Philadelphia,PA,3,RestaurantsTakeOut=True;RestaurantsDelivery=True;BusinessAcceptsCreditCards=True;OutdoorSeating=True;GoodForKids=True;WiFi=u'free';BikeParking=True,This place seems to be decently popular with visitors to this part of town. My experience with this location dates to its days as the former Pagoda Noodle House | Best AUTHENTIC in Philly. Beat all others. Best meat quality in the town. You got what you pay for! It worth it for sure. | I've been to Szechuan many many times. And this is DEFINITELY most authentic in the greater Philly area! Forget Chinatown style .
item_00306ece5a664456,"Chinese, Restaurants",Philadelphia,PA,1,RestaurantsTakeOut=True;RestaurantsDelivery=True;BusinessAcceptsCreditCards=True;OutdoorSeating=False;GoodForKids=True;WiFi=u'no',"just wanted to say abt people being like ""they have a hard time understanding your order"" you have a hard time talking to people who don't speak english as flue | I hate it but I've been there more than once for the convenience of the location. The guy doesn't understand orders very well. He gave me the wrong order once a | A decent and cheap pick-up type of place, nothing glamorous. Food is edible, inexpensive and the portion sizes are fairly large. They will accept a credit card"
item_0033a2efb001e1a8,"Thrift Stores, Shopping",Tucson,AZ,1,BusinessAcceptsCreditCards=True;BikeParking=True,"I've donated here twice. I've been shocked both times at how non existent the customer service is. They do not have the decency to greet you when you are dona | Stopped in with a friend looking for furniture for her office. I was immediately impressed with how clean and well organized the place was. Things were sorted | it was exciting to see a place like this poo up in Tucson. I was eager to volunteer, with a masters in I/O, retail experience, and two business days I could vol"
item_0039a6db8968b4ac,"Bars, Nightlife, Dive Bars, Restaurants",Philadelphia,PA,1,RestaurantsTakeOut=True;RestaurantsDelivery=False;BusinessAcceptsCreditCards=False;OutdoorSeating=False;GoodForKids=False;WiFi=u'free';BikeParking=True,"It's dirty, smelly, and the bathrooms are disgusting. But something keeps enticing me to return to 's. The prices are good, especially for the area, | If you like dive s and the scene that come with the cheap drinks. This place is the beat true dive in center city | You're not paying for smiles here, that's for sure. Great for a night out with a bunch of frugal friends - and although I've never had one of the fabled 75 cen"
item_003ee4edf449ee82,"Eyewear & Opticians, Ophthalmologists, Health & Medical, Shopping, Doctors, Optometrists",Tucson,AZ,2,BusinessAcceptsCreditCards=True;BikeParking=True,I am originally from South Carolina and have been using 's for years until I was living in Nevada last year and they had no locations. When my fianc | I paid for the exam about a year ago but never bothered getting my glasses because I knew they would be bad. The doctor rushed through the exam and I was too i | I went in today to have an eye exam and the girl who did my pre exam was very nice and friendly. I think her name started with a k and she had short hair that w
item_00420061fdc86272,"Specialty Food, Meat Shops, Food",Philadelphia,PA,2,RestaurantsTakeOut=False;RestaurantsDelivery=True;BusinessAcceptsCreditCards=True;BikeParking=True,"Quality meat with great customer service. The sausage is amazing and chicken cutlets are cut perfectly thin! Definitely going back for more! | An incredible store where no matter how busy they are they make you feel like an individual and it has that personalized atmosphere about it that I enjoy. From | Selection is not the biggest, not much on hand as far as dry aged, but the price and quality of Beef here is excellent. Service is top notch and Philly Fr"
item_00437b6906fd5d1b,"Restaurants, Food, Indian, Desserts, Juice Bars & Smoothies, Ice Cream & Frozen Yogurt",Tampa,FL,-1,RestaurantsTakeOut=True;RestaurantsDelivery=True;BusinessAcceptsCreditCards=True,"This cream is super cute and has savory flavors as well as the normal chocolate and cookies and cream. The was clean the people were pleasant | N clean restaurant with super tasty food. I have tried pao bhaji , chaats and indian creams.. everything is superb. Must try .. | #1 Indian Street food in Tampa! For anyone who knows Indian food, they know the street foods are among the best and most satisfying in the cuisine. This"
item_0049973003cf4649,"Archery, Active Life",Tucson,AZ,-1,GoodForKids=False,"Really like this shop, everyone is really helpful and friendly even to a beginner with a lot of ""dumb"" questions. After getting my first compound bow they quick | One of my favorite new places, Family Owned and Operated Local Small Business that supports the community with an indoor range and excellent Tra | I usually don't leave reviews, but I had a bad experience with this place. I am a beginner to and was treated very poorly. The gentleman here was laughi"
item_0049fb565095b722,"Arts & Entertainment, Life Coach, Professional Services, Supernatural Readings, Psychics",Philadelphia,PA,-1,GoodForKids=True,"Walked by this place on the way to my lunch spot and noticed a woman leaving her session in aawe of her emotions. Left me thinking, maybe that was a really good | They are not like other places. They actually tell you all that you already know. I don't think they are legit. I went in for a reading one day in the past week | My rating of Roxanne is 3.5 stars. Before I start, here's some background if you haven't yet read any of my other reviews of s. In addition to being a s"
item_004b32240209dc6d,"Banks & Credit Unions, Financial Advising, Mortgage Brokers, Financial Services, Insurance, Real Estate, Home Services",Tucson,AZ,-1,BusinessAcceptsCreditCards=True,"has negatively impacted my score for a 7 dollar overage on a secured card. I would of gladly paid the balance, but the website states that nothing | I was considering opening an account with and spoke with a team member who was quite pleasant and helpful. She suggested I make an appt to open an accou | Just walked in to exchange a $20 bill for two rolls of quarters. Waited in line five minutes, with only one person in front of me. The lady behind the counter t"
item_004b678cf3a4413f,"Automotive, Auto Detailing, Car Wash, Oil Change Stations",Tucson,AZ,-1,BusinessAcceptsCreditCards=True,"This one... ?? They left dog hair on my dashboard, on my seats. Gum wrapper in my door handle. And the windows were left with wet. The other s I go to | Great experience at this . Great price, great location, pet friendly, excellent job inside & out on our truck. We were using Surf Thru but they turned o | Updated system. Friendly service, good interior clean. Cheaper then when it was Metro . Definitely be back."
item_00532583325b8665,"Food, Restaurants, Fast Food, Coffee & Tea, Burgers",Tucson,AZ,1,RestaurantsTakeOut=True;RestaurantsDelivery=True;BusinessAcceptsCreditCards=True;OutdoorSeating=False;GoodForKids=True;WiFi=u'free';BikeParking=True,"Food is not bad for Mc Donald's but the employees are so abrupt and rude. What ever you do don't ask a question because it is NO! Don't know! No! I DON'T KNOW N | I work near here, so I frequently stop for a bag of ice (and, let's not lie, an occasional cup of crappy vanilla coffee) on my way in to work. This morning, as | Inside is better than drive-thru as with most fast food places because I feel they try harder to get your order accurate knowing you will be there to complain i"
item_00563b03f3211771,"Desserts, Vegetarian, Mediterranean, Modern European, Vegan, Mexican, Food, Restaurants",Tucson,AZ,2,RestaurantsTakeOut=True;BusinessAcceptsCreditCards=True;OutdoorSeating=True;WiFi=u'free';BikeParking=True,"I, and five friends, had a late lunch today and the food was amazing! I had sunflower chicken. They also had yummy branzino and salmon dishes. The decor was a | Trendy plant-based-focused spot from the El Charro folks and one of my first dine-in experiences! While they didn't seem to limit capacity or block off tables, | Great food, great ambiance! Staff are awesome and appear to really have fun at what they are doing. Love their healthy concept and the creativity with pr"
item_00598f41e52ea0a8,"Bars, Nightlife, Pubs, Gastropubs, Restaurants",Philadelphia,PA,2,RestaurantsTakeOut=True;RestaurantsDelivery=True;BusinessAcceptsCreditCards=True;OutdoorSeating=True;GoodForKids=False;WiFi=u'free';BikeParking=True,"Good food. Good atmosphere. Friendly staff. Only gave it 3 stars because the food portions are small and pricy. Wouldn't mind paying the price if the potions we | Service was really great. Food wasn't too great for us. I got the vegetarian grilled cheese and it was mostly a giant piece of bread. My boyfriend got a shrimp | Love this place !! Brunch today with my family - Food was great. Omelettes, burgers and drinks were excellent. Our waitress went out of her way to ensure we had"
item_005d13647e5e631f,"Recreation Centers, Active Life",Philadelphia,PA,-1,BusinessAcceptsCreditCards=True;GoodForKids=False,"What an amazing night! My girlfriend and I came here for date night, and we were in a group with o r people we quickly became friends with. Our axe master Chr | I saw groupon and decided to register to . Unfortunately, groupon doesn't cover one person. I called and was able to schedule a time wit | Loved this place! I was so scared going in but Mid was an amazing instructor. Definitely will go again! y owner was very helpful with tips as well."
item_005e955181c10add,"Wineries, Fondue, Specialty Food, Wine Bars, Belgian, Bars, Nightlife, Food, Restaurants, Arts & Entertainment",Philadelphia,PA,2,RestaurantsTakeOut=True;RestaurantsDelivery=True;BusinessAcceptsCreditCards=True;OutdoorSeating=False;GoodForKids=False;WiFi=u'free',"Went to a few months ago after reading the Yelp reviews-- my boyfriend had never had fondue, and after we planned on The Melting Pot, I knew we both wo | is Eulogy's little sister. That's the best way to it in one sentence. And while I pefer Eulogy for a lot of reasons, has its own perfect spo | I can not believe these reviews. Honestly, I hate when a person writes a review just to complain, but last week my husband and I had one of the most disappoint"
item_0063419855fe4744,"Shoe Repair, Local Services",Philadelphia,PA,-1,BusinessAcceptsCreditCards=False,"I had bought a pair of non-leather boots that had a calves that was just too wide for my legs. I knew I could return them if I didn't wear them so I brought the | Not a bad place. brought a couple of things in, never had an issue. If I had a complaint, it would be that they need to clean the place up and brighten it u | Pricey but consistently good s. I have brought several leather items, including s, here over the years. They put a new leather strap on my purse, and"
item_006438782d46f0f5,"Desserts, Shaved Ice, Ice Cream & Frozen Yogurt, Food",Philadelphia,PA,1,RestaurantsTakeOut=True;BusinessAcceptsCreditCards=True;WiFi=u'no',i LOVE 'S!!! me and my friend would always walk there and get a gelati and walk back home... | 's wherever you go is the absolute best. This one is no different. The water is Amazing. They have many different flavors. The cost may be a bit mor | Picked up two pints of lemon and cherry water for a friend's barbecue here. I was greeted immediately and asked if I'd like to try a flavor. Lots of smile
item_006c0441fb8dd7ef,"Barbers, Beauty & Spas",Philadelphia,PA,2,BusinessAcceptsCreditCards=False;WiFi=u'free';BikeParking=True,"My husband has been a satisfied customer for years. We both think that Will, the owner, is part barber and part artist. It's great that they've reopened. Hubby | First time at . 1302 was booked so they sent me to there 2nd location (which is a couple of doors down. Luis was my and was very fri | Went to the other location a couple doors down for the first time. Great cut from Bryon."
item_006f19c3e3050dc2,"Doctors, Cosmetic Surgeons, Health & Medical, Medical Centers, Medical Spas, Body Contouring, Beauty & Spas, Weight Loss Centers",Tampa,FL,3,BusinessAcceptsCreditCards=True,"Be very cautious. I had a consultation only to find that they sold me a bunch of bull. procedure. was cancelled because I received poor information from consul | Me and my girlfriend made a appointment a week ago, we hired a babysitter, my girlfriend took the day off work and I moved some jobs to the following week. All | After more than 10 Years of being embarrassed when taking my shirt off I made the decision to make a change. Did my research and selected Sona and decided"
item_00728e8ec93ecee2,"Breakfast & Brunch, Restaurants",Philadelphia,PA,1,RestaurantsTakeOut=True;RestaurantsDelivery=False;BusinessAcceptsCreditCards=True;OutdoorSeating=False;GoodForKids=True;WiFi=u'no',"A kitchen of 6 cooks and still I waited 24 minutes for breakfast. The platter was terrible and cold. This not a place to eat. It's a place to drink beer. Very p | UPDATE: Yesterday (10/2019) I walked in and one of the chefs asked what I wanted, ""A corned beef special."" Done. (Funny because I totally forgot my previous e | I had lunch here today and was not given any reason really for returning. I ordered a plain crispy chicken wrap and the regular ingredients was just the meat an"
item_0075986e65afe232,"Skin Care, Eyelash Service, Beauty & Spas, Medical Spas, Health & Medical, Nail Salons, Hair Salons",Tucson,AZ,-1,BusinessAcceptsCreditCards=True;WiFi=u'no';BikeParking=True,"Awesome hair stylists. Previously known as sports buzz. Super friendly skilled staff. Most of them know me by name. I've been coming here for years now. I | Absolutely amazing from aesthetics to customer service, availability prom with choices all stylists were super friendly, Super pleased with my first tim | I went here for the first time after diligently trying to find a competent stylist after moving from another state. Nettie had definitely been worth my wait. Sh"
item_0079359a3a3d7e39,"Cooking Classes, Event Planning & Services, Arts & Crafts, Desserts, Chocolatiers & Shops, Food, Shopping, Party Supplies, Specialty Food, Candy Stores",Tampa,FL,2,RestaurantsTakeOut=True;BusinessAcceptsCreditCards=True;BikeParking=True,"I hate to give them 3 stars but I have to. First ket me say is very nice! I checked in with Yelp and used my coupon for a free chocolate cluster. | The chocolate is so beautiful that you can not just select one We met the owners on our second visit and they are a fabulous people that create delicious sweet | Awesome new discovery that I've made recently even though this place has been around for a few years. I love chocolate, and I'm always on the lookout for new ch"
item_007dda747c1deb27,"Food, Specialty Food, Seafood Markets",Philadelphia,PA,2,RestaurantsTakeOut=True;BusinessAcceptsCreditCards=True;BikeParking=True,"This place has gone down Hill over The years. It got so bad that I had to leave them alone. I tried to hang in there, because I love and small buisness | Ate here for the first time a few days ago with my girlfriend. I ordered 3pounds of the snow with the garlic potatoes and corn on the cob and my girlfriend | I've only gotten delivery from here, but it has always been excellent. i usually get the broiled shrimp and scallops. It's so sinful yet so healthy! The plate"
item_008191600b7ddaff,"Wildlife Control, Arts & Entertainment, Local Services, Pest Control",Tampa,FL,-1,BusinessAcceptsCreditCards=True,"Tuskerz Trapping is the best. We called them at 10pm at night the day before Easter and they came right out. They were quick, affordable and knowledge. They wer | Chris and his team are outstanding. They continue to stay up-to-date and educated on all the best products, formulas, techniques, and technologies to make sure | I am so thankful for Chris and A All Animal Control of Tampa. Chris was extremely helpful, was professional, charged us a very reasonable price, and quickly res"
item_008287db163cb7ae,"Skin Care, Beauty & Spas",Tucson,AZ,2,BusinessAcceptsCreditCards=True,I bought a groupon for a diamond micro brasion facial and lumi facial. Let's just say it was not what I expected so I was really disappointed with the servi | I got the hydrafacial here and was surprised by some extras that were offered. The owner did an assessment of sun damage and moisture content of my skin using a | I've been going to for a little over five years now. My experiences there have always been positive and I have always been treated with kind
item_008622c2dced5d90,"Spiritual Shop, Shopping, Bookstores, Books, Mags, Music & Video",Tucson,AZ,3,BusinessAcceptsCreditCards=True;BikeParking=False,"Great place to get spiritual and Christian related items and gifts. They have really nice books and crosses as well. | My nephew recently had his First Communion and I had been searching online for DAYS. I decided to visit and it was amazing, they had everything | Such an amazing store and the staff here is so kind and extremely helpful. The store is spacious and set up for easy shopping. They have something for everyone"
item_008b27ec4a198b6c,"Emergency Pet Hospital, Pets, Pet Services, Veterinarians, Orthopedists, Health & Medical, Doctors",Philadelphia,PA,-1,,"It's hard to find a veterinarian place that specializes in rabbits, well for bunny owners out there, look no more! I decided to take my rabbit here because it s | Have been very happy with care here for my dog who needed a minor procedure with general anesthesia, and a senior cat who has a constellation of challenging iss | Just had our first visit to with our recently adopted pup, Izzy. Dr. Weiss and the entire staff @ took great care of us an"
item_008ecd803c72225e,"Local Services, Electronics Repair, Generator Installation/Repair",Tampa,FL,-1,BusinessAcceptsCreditCards=True,"Love visiting. They seriously know how to do Covid! Different events nice view and great choices of eateries. | Loved the whole idea of many restaurants and bars in one place. I went there last night with few friends and the weather was perfect to have few drinks outside. | Just a quick sentence, we love this place, the atmosphere, choices, and overall feel."
item_009079e7a540286b,"Local Services, Movers, Home Services, Self Storage, Packing Supplies, Shopping",Philadelphia,PA,-1,BusinessAcceptsCreditCards=True,"I used them today, Daryl was the lead and him and his team were friendly, professional and asked questions prior in where things needed to go. The price is so | Great service - very painless. Joel T and his crew were quick, friendly and efficient. Recommend | Hired 2 people for 2 hrs. One young man showed up on time but no partner in sight. Called the company and come to find out, they claim that the 2nd person backe"
item_0096ea4756fff979,"Photography Stores & Services, Food, Convenience Stores, Health & Medical, Drugstores, Shopping, Pharmacy",Tampa,FL,2,RestaurantsTakeOut=False;RestaurantsDelivery=True;BusinessAcceptsCreditCards=True;BikeParking=True,"Awe....Ful! Awful customer service. It took two associates and a manager name Wanda?... Who I had to ask for her name since she didn't even have a name tag on a | Didn't get anything while I was here. Needed to find a that had my mom's prescription. Went everywhere, they gave me a couple other to try for the | Cashier looked at my ID and then told me I look like Napoleon Dynamite.........wonderful.....unfortunately, this is not the first time I heard that... I told he"
item_0099c9b6532fb381,"Fishing, Social Clubs, Active Life, Boating, Arts & Entertainment",Tampa,FL,-1,GoodForKids=True;BikeParking=True,"Storm Schenk from Port Richey 1 rock was so helpful with getting our ready, he informed us about any weather conditions and made sure we felt safe. I reall | I've been a member of of for 4 years. Every year the gets better and better. They are consistently adding more locations, increasing th | We've been members since July of 2017 and for years we've been praising to everyone how great this is. However the past year we've become extremely di"
item_009a516af2fd0f1e,"Shopping, Sports Wear, Fashion, Sporting Goods",Philadelphia,PA,2,BusinessAcceptsCreditCards=True;BikeParking=True,"The service was horrible! I walked in to return one of the items I bought on , and I said ""I'd like to make a return"" to the cashier. He stared at me without | i normally shop at modells across for my sneaker needs but i didnt like the price so i went across the street to .only thing good here i save $15. th | If I could give this store 0 stars I would. The staff is lackadaisical, slow paced, and unattentive, not to mention they have no employees on the floor to help."
item_009a8b7ddfd08f17,"Restaurants, Vegetarian, Asian Fusion, Thai",Tampa,FL,2,RestaurantsTakeOut=True;RestaurantsDelivery=True;BusinessAcceptsCreditCards=True;OutdoorSeating=False;GoodForKids=True;WiFi=u'no';BikeParking=True,"Great meal, quick and easy pick up. Excellent service and clean place. Have order few times always consistent. | We've ordered delivery a couple of times and have enjoyed our meals. We've tried the tom kha gai soup, egg rolls, pad see ew, and pad . The pad see ew had a | Fantastic food. We were out shopping and I needed to eat. A quick search of Yelp and we stumbled across this place. Really glad we did. It wasn't busy whe"
item_009b78a76411539b,"Appliances & Repair, Local Services",Philadelphia,PA,-1,BusinessAcceptsCreditCards=True,"I had a very good experience with this place. It's run by Jack DeSorte, who is very nice, and it specializes in Hoovers but they also service other types of va | I dropped my off at 11 AM. I have had a Dyson for a few years that I haven't used for the past year and thought today would be a good day to get it fixed | I went to De Sorte's after reading the yelp reviews and was thrilled with my experience. I took my Brother ing machine in and Mr. De Sorte fixed it immediate"
item_00a091d87b5bf530,"Health & Medical, Food, Pharmacy, Convenience Stores, Shopping, Drugstores",Tucson,AZ,3,RestaurantsTakeOut=False;RestaurantsDelivery=True;BusinessAcceptsCreditCards=True,"I had a concern yesterday with a pharmacist, and called the store manager later in the day. The store manager was kind and courteous and listened to me and my | This is the worst in NW Tucson. They refuse to accept coupons and make the excuse that they have to be reviewed by the pharmacist and it'll take from 2 | So disappointed. I went to this location because it's close to my house, went mid day to pick up my medication. They didn't have one particular medication avail"
item_00a34325a3c6edd8,"Fast Food, American (New), Restaurants, Food, Chicken Shop",Tucson,AZ,1,RestaurantsTakeOut=True;RestaurantsDelivery=True;BusinessAcceptsCreditCards=True;OutdoorSeating=False;WiFi=u'free';BikeParking=True,This a is probably the worst one in town. Every time I got if its lunch breakfast they always have skimpy en. I feel like I'm eating just the crun | Nice cooling mist in the drive thru. One of the frys we got were way overlysalted and a bit overcooked. Nuggets couldve been hotter but not complainable. Sandwi | This was the first time I have eaten a en sandwich from here but I will definitely be coming back. My son and I both got a spicy en sandwich since we
item_00a5a87b942e3df7,"Italian, Restaurants, Sandwiches, Pizza",Tucson,AZ,2,RestaurantsTakeOut=True;RestaurantsDelivery=True;BusinessAcceptsCreditCards=True;OutdoorSeating=True;GoodForKids=True;WiFi=u'free';BikeParking=True,"I still remember the first time I indulged in the awesomeness of 's . I was 12, and had just moved to Tucson. My aunt and uncle had my family over fo | Best in OV, worst service in Tucson. Every single time I order takeout, I end up sitting around in their dining room for 20-30 minutes past the time they | If you go, be hungry. The s there are BIG. I watched as someone tossed the dough for the family sized --OMG! Sauce and toppings very good-nice thin"
item_00a8798577cab70a,"Performing Arts, Arts & Entertainment, Nightlife, Comedy Clubs",Philadelphia,PA,1,BusinessAcceptsCreditCards=True;OutdoorSeating=False;GoodForKids=False;BikeParking=True,"We had a blast! actors were quick and witty, show was extremely interactive and y were able to run with any idea that was thrown at m. y asked | fun little improv club is hidden in seemingly no where, but it's actually quite fun. I certainly had a few good chuckles and was entertained by act. I | This was my first stop on my Philly adventure. While I will say I didn't have best of times, everyone in audience seemed to really enjoy it. I enjoyed t"
