task_id,passage,difficulty,slate,chosen_item_id
task_tr000010,"We didnt have a chance to order: the waiter/cashier seemed really unhappy to be working there on Labor Day weekend. After my gf placed her drink order, he ran up the total. When sh",t2,item_6882032e2422b022;item_09bd71a76b77a844;item_53efdd55f9a9167a;item_11773adfb3f46e94;item_43b7d69d47dd6752;item_23931f81b9dbec44;item_5b2b4e456db11ccc;item_8dd34a3dea48390b;item_ed46871959c9d61d;item_04894f4f4a1b21c4;item_5637a0a549d28210;item_53de7aa4db97bbeb;item_bed967c4a8bc6d66;item_c950944c5a8ae2c5;item_b3bd5d0209df5a8a;item_d386e2b073708352;item_d7d521386bcaa3fc;item_18182341a12f5f03;item_5c855463ad7a5820;item_bdda59e2c04cf3a9,item_11773adfb3f46e94
task_tr000011,Delicious food at a good price and a great laid back atmosphere. Service is excellent! Oh man the tomatoe bisque was amazing!,t2,item_797806e36cac91e2;item_870337e346eda07a;item_4f427488854f2b5a;item_d2e84e3d98a1ebd6;item_3ce30bbdd9a8bf9a;item_ae90f33a28123654;item_39505ec097353332;item_b8e9ee7acfc00fc2;item_24b9e91d95b5a693;item_b40ecf25522a24a1;item_1dd4c46f82de1901;item_3ea8031e6cae6be0;item_27bcf43144b0cc5a;item_255715ea68203254;item_ad10321d172ebd9c;item_d964e25b4efbd63e;item_e4e391ffa133f8ec;item_2624a96721409788;item_9e31a16ae4f73716;item_b50ab4920b5d5267,item_d964e25b4efbd63e
task_tr000012,"Still feel the same about the venue -- but wanted to provide an update that they now collect your information, name, phone number, email for ""membership"" which I'm totally fine wit",t5,item_4fe729b43d47799e;item_80522202804df35d;item_286a8dee366a8a14;item_e3c1b963f5e6682d;item_390166b0df5a5b42;item_d61d1817d508d0fa;item_f13e61681ce04ad8;item_4280ab8b4fec8b8b;item_3e275a66e127c10b;item_7bfb3fee573f866f;item_63c5659368760cc5;item_c25a2e5509848cad;item_51229b23e9cdfa89;item_b5a606f887123201;item_8d6814ae01770868;item_b66871cf16c62cc2;item_0bf778042f3f1286;item_879375b72e89cb85;item_35e1468d2f27c303;item_d46260b860ed6afe,item_e3c1b963f5e6682d
task_tr000013,"I came to this venue for the first time to see the play Always Coming Soon: The Future, after winning free admission for a friend and I from Yelp. The is on an",t4,item_f76b836a9a2cf5f2;item_1d1c04bc8190a1d6;item_11d946be85faacd7;item_eafd55684728434b;item_f5b9cbf47ebee057;item_d46260b860ed6afe;item_c7075b130d0c3bb6;item_54f7302bab6dfc1b;item_da88e0b624a89ddc;item_0bf778042f3f1286;item_9dd9a7f7368e2fe7;item_9ba132d120119b81;item_3605ed46db2485fe;item_4280ab8b4fec8b8b;item_2c5237e641a54e68;item_286a8dee366a8a14;item_b66871cf16c62cc2;item_4bd07692fcf2d7cc;item_138c2e633cdb0cd5;item_92660f5550df4362,item_92660f5550df4362
task_tr000014,Banana Nutella..OMG!! So moist. Taste like banana bread with icing. Went in to buy 1 then brought 2 more after a Taste while waiting at the register.,t2,item_f535d645d98b1c50;item_3246f66af72547b9;item_d386e2b073708352;item_53de7aa4db97bbeb;item_5905827a554ee298;item_ddc9640b619d9c14;item_f301aae3ebfcc0d4;item_2f7a3c58fce369a0;item_96f99b17d8cd07e8;item_1498185755f95646;item_8e4e4f5055c3196a;item_e38c6906322c28a0;item_fb5b7003a67cfa62;item_68c54b78a01e7d7b;item_c33e54f422e117ae;item_5b2b4e456db11ccc;item_d7d521386bcaa3fc;item_f4b9c0490343913c;item_3ca144dbac135a46;item_7d69315263548c8c,item_8e4e4f5055c3196a
task_tr000015,Late lunchtime. Starving and getting over a cold so I decided to fill my belly with some nice hot . Started with the summer rolls and they were mostly filled with noodles and,t4,item_53de7aa4db97bbeb;item_43b7d69d47dd6752;item_bdda59e2c04cf3a9;item_4b8d0b9e0146b8e3;item_e4900f3b01b9d740;item_4a4aec2a731edf6d;item_ddc9640b619d9c14;item_b270073e0663c522;item_cdac8ad09583bd81;item_2fd32c1df4761051;item_80caa9d323b5ba90;item_cd40728812937444;item_d386e2b073708352;item_170f69b89cea55f4;item_876718e1456a3f6a;item_f06fc414a4b5ceeb;item_7825aab2c54686d9;item_69e77c943e19ff8f;item_73c22616f3dd6bac;item_acbd0470078f6747,item_69e77c943e19ff8f
task_tr000016,"Went for a facial and had a great experience. Tracey did a great job, didn't rush at all, and I left feeling relaxed and refreshed. I used a groupon for detox facial which",t3,item_e8f554ded889ba70;item_8c6176c65bfaa8ce;item_0c4748d01a5f5f58;item_382ef3c77d1db108;item_98d88fb90b6df5e4;item_d597edae7a9b0a43;item_e763f83ef0669441;item_c7a2c67e2dbccb01;item_660e601c76b9189f;item_1d6a47f173178ff0;item_33c2982d84e2999d;item_3650d0b7a94351b7;item_63142ac90a31d458;item_ac94eb9806f3f996;item_4da0b247e66d16ad;item_f806a330cf44985b;item_6be970aeae65649d;item_cd46db73a8b60b3b;item_6ed603e9a63e44b3;item_614223e3c861d39f,item_3650d0b7a94351b7
task_tr000017,"These guys are awesome. I first used November 2011, when I damaged my rims after riding into huge potholes. I called after hours and the owner, Jon told me to come on by",t1,item_d1484a2f937f32a5;item_47d1b7bdbe926d38;item_85ab3aa57a44ecb5;item_1398c264d5edffb1;item_56f85421d983dfab;item_229b9310eedb4187;item_8206e7cdc071845c;item_5f7b5d3ae9c93ef3;item_960ea455fc3ae273;item_61e38883df75432a;item_40090352f68ddb11;item_5e1b879c096fe3dc;item_b49e9cde6b515c91;item_a872ccf5372b4334;item_66b5a9c155f9d82a;item_479dfb0c0c6f47ce;item_169fe6951ddce6b2;item_3ab49ab03274be14;item_1adb9f7d470878f5;item_0aea22e15c8ddbc5,item_56f85421d983dfab
task_tr000018,"I bought lunch (Three Treasures with Rice) yesterday at because I had read about the positive reviews for a long time. I got to pick my ""treasures,"" namely, roast , soy",t2,item_72115c7ec7cb9890;item_11e124384ed629a1;item_0bb6f578495cefa1;item_88bbecafa44c0a78;item_dce2f61c22c460dc;item_9ef40a0aff6be405;item_0a9d14803489d706;item_ed1808676f4243b1;item_f535d645d98b1c50;item_a0090b03d51ec809;item_94ded6467d8d8c95;item_7f3152c674cbc161;item_8c8da722c7d20466;item_b3bbe23f9f1c5570;item_6a812d1fecb32308;item_6d15991ab0d0ffd8;item_9b2ae5e84c923fb8;item_e49536423d55a4c3;item_a9b2e68a3efad2a1;item_4e336e531b8eb462,item_0bb6f578495cefa1
task_tr000019,"Food is pretty good, but customer service is lacking. The music is usually so loud that it's hard to hear the people behind the counter talking. At times I get the feeling that the",t5,item_32c470b2a1a2b648;item_d67e39f05591d909;item_5c6ff5fb5befd75e;item_c10b03767da5afc8;item_5bcc8d50d1d90760;item_0cf00f7a33dd05bc;item_96c992153f1007ea;item_1ad67b9b549cc45f;item_084a1fc7de282966;item_25d0b9eb7f4faedd;item_9e696c7daf20bbd4;item_09972b33f3452ce2;item_8eaeab913a90a76c;item_ee491c9e817a6ef0;item_d6293ad696dec0b4;item_cb09159826978e7b;item_b7fc4cea651784e6;item_622136e2465cbe84;item_371333d8b0eacbe0;item_341ae191ad7f05f9,item_341ae191ad7f05f9
task_tr000020,We have used Elias Martinez at Chic for several years for our real estate and personal computers. He is absolutely the BEST in Tampa. The service is exemplary and prices can,t1,item_42fd99592c5ff5fc;item_0f16aa302eb95d26;item_bfaa962544eb5aa5;item_54acc9f96a6958bf;item_bf0ada4a4e8b5ded;item_21dcdb0b4e7584b9;item_752e2a355341eb06;item_d7ce212286f23d34;item_675c6d49707ba3b9;item_7c6e57e13cb8247a;item_fc8dce4c74d2ccfa;item_e47cca4c8d19de76;item_47d55bbf87ca7635;item_03c092341a6fc3bd;item_466a174e67ae9363;item_10459f02a192917b;item_9e5b88e99cfc3f20;item_f4c335de90627b36;item_c5e6b3c7300798ca;item_54ea60938441a052,item_f4c335de90627b36
task_tr000021,It's always a hit or miss . They're hoagies are always fresh but they charge extra for some of the toppings. Some of the fried breaded foods are hard at times . But I love the jala,t4,item_8e1674db7cba1f15;item_fe37acc4223e665d;item_0cc2e2306c63c03a;item_75eba07e19dde432;item_51800380f6283323;item_9539e035625d7d04;item_6e5931ab8597c69c;item_05ea8b94dbfad84e;item_c05fc33e2149dd6b;item_f43d9b4cc3ea105a;item_14d7d5ef79d0ac8f;item_8ab1e91ed73404a0;item_f5523061d7a3f314;item_a423a109f59529ee;item_b8deb4be0112d6bc;item_8bcfecec697659d2;item_772486725e90a83f;item_cd40728812937444;item_a2ba79d1be68e376;item_f6a96cf1254847e4,item_fe37acc4223e665d
task_tr000022,"Unethical. Please read. Update, a few months later. It gets worse! I spent so much money on this . The mechanic at lied to me when I brought the in and told",t4,item_4f12701eae9b69b5;item_96de6e750460ff5f;item_ff556062af798d29;item_c0aa1a9d61ee7a52;item_99218f33498580e5;item_e1f713abfbd262c9;item_e93ef3f76399bbd3;item_9c2deb19cd4a35de;item_ecc6cee1617fe221;item_4f0c5f0e8c013e19;item_39ce897ea79eed31;item_c696dde80aa09954;item_6c2884a9576b00ca;item_f718c709231b6f70;item_fb327db2a93d771b;item_12fa91062ab4c456;item_b0c51475c2cc4e01;item_643c6f90eeb09398;item_fca4977e7fb2d884;item_75edf0fa5ef5d46e,item_75edf0fa5ef5d46e
task_tr000023,"One beautiful bite. One cheesy, crispy, charred,tender, savory, dipped in chipotle delicious squash blossom quesadilla bite. The triangles are too large to hold and get a good bi",t1,item_3baa882bdcb1185e;item_a4d24ecc07a1dc5a;item_bbecfbaa35da2170;item_1aba94a269fcb63d;item_496f1cfcef169099;item_a5757b1760ca968e;item_2d356fc2e7446d79;item_047c5f01e64e1cfa;item_50a137f388769126;item_4d0c773c5ffeb3d4;item_59aa6e780e43268c;item_da9f31f7f84755a7;item_fc5c44edfa4cfb81;item_1e7b0253461f3c6b;item_65cfdde8bff09e87;item_e0827a4e90253361;item_d50e28eeb2fbd99c;item_43fb15d1b0e0977b;item_7ddb026a508ab613;item_8a3f513eedc85690,item_d50e28eeb2fbd99c
task_tr000024,Still a great store but note they have changed their name to Food + . Nothing else has changed.,t3,item_25fbdbda58890627;item_2a07c7317f7438d2;item_3e7e9ab1a5c0c71b;item_2bbd1879f57d1934;item_3246f66af72547b9;item_2fd32c1df4761051;item_617f756831fde617;item_8ec5f3436738af62;item_3a02a99493df685a;item_3ff288a52dca5b00;item_cce779b8d7152163;item_f535d645d98b1c50;item_b5edd3e18ec41b5d;item_fb5b7003a67cfa62;item_3980f9116ee06ea2;item_0ce8d254262be570;item_1498185755f95646;item_3dc599ab3fa54e49;item_9fadf0ab387357a8;item_a840285a514f4135,item_25fbdbda58890627
task_tr000025,"Whenever I relocate for business I seek out a local . In my opinion, you can never go wrong. This location specifically is fantastic. The stylists are all friendly, offe",t2,item_2b5829e73ddeeb03;item_4d9a6b0d8e01cb6a;item_28ffa806e0b05f3b;item_14d9f6873a99e19a;item_b2a434d7cc5535f7;item_4fea488554cfe746;item_373564a17d9bb142;item_9d40c19643a30648;item_53fb2620a4dfc1f0;item_eb8a6f17e5028bb2;item_5542bf02e1506d0d;item_0b1ea6fe8f101983;item_7a5715829641e3a5;item_4cf5f411cc87ed11;item_04ced9f8e485521c;item_d4c0d5c60f1f822b;item_f32a66cc710ebb3c;item_a4474177197074ef;item_2daafd9c7f7a8f8f;item_d5803b711d262476,item_4d9a6b0d8e01cb6a
task_tr000026,"When we made reservations for a vehicle, it stated 100% cancellation up to time of vehicle pick up. We decided to cancel 48 hr before pick up only to find there's a $50 penalty to",t4,item_9f2048719f10c2af;item_6398b986f92610b0;item_fee5c9d9fc4746e3;item_acf4098586a15610;item_7be821ffe0919deb;item_ec34ae22b7b8308d;item_ded1c5d205cb1e0b;item_04ec6692d2c4e582;item_8356ae3153b39351;item_02e4781e55a25d69;item_7218742202a76274;item_ac9a996b2d6bcf42;item_3b157f3e0861925d;item_69736c4bdb9da1b7;item_cf13c10a6f4e5f0f;item_1a3bf7cf4f59052a;item_100d5349d8e5d634;item_4545a9e0ca75f6a8;item_333cc97ceb4488df;item_6b2120f8d96b5da7,item_6b2120f8d96b5da7
task_tr000027,Worst customer service EVER!!! I sent a fax ordering lunch for my office for a birthday. We sent it via fax to make sure that there was no confusion with what we ordered and then,t2,item_ffdd1ba5a03e4980;item_6d46205cb70f6049;item_1d18319a411e910b;item_91c2c41f3365fd81;item_c4007411f5114fff;item_8861b92601715761;item_ca3b9d285a694d9b;item_a144a1f61991323a;item_a1800df7b14d1a45;item_f01361c5ef5ece78;item_20c2bd4c4669585f;item_844da7cf58e338f4;item_a0a6cfe8db1f8849;item_adea3f0f05184b27;item_544e61f7696572b1;item_ef533c555f5874dc;item_afb2553095b943ab;item_cd53235be8bf39ca;item_0ec152743c1308c9;item_e7b1896571f5c2b7,item_0ec152743c1308c9
task_tr000028,Just saw an arrangement that came from here. All the flowers were wilted same day as delivery and this ship did not do anything to rectify the situation but were rude.,t1,item_05d5563e9385c15e;item_3543b2041c538c63;item_955d366f8da337f7;item_8ee8805f92c56dd8;item_7a69bb9b3ada3cba;item_2454dc513c5963d7;item_f73fc86a99b8fbbf;item_cac65772d5bd7de0;item_057d737b4ba7d091;item_bed384324e478186;item_29375526af46d4af;item_21ca9f78bba712cc;item_fb043f65707eaa12;item_e5db9832f1f2f624;item_c1706c6f083b41a2;item_4e8bbf30802e2121;item_1fcdb72c247984df;item_894fc8bb6292e08f;item_38786ad761feb19f;item_84cc271e8ed540ae,item_894fc8bb6292e08f
task_tr000029,"Best place to play Pokémon in the city. 4th Avenue downtown is better (technically) but is more nature-y, relaxing and overall pleasant.",t2,item_ddf267d3a48ca39f;item_66764887727435cf;item_4475615ad40012c5;item_108910ccf8cf5d98;item_f5c091999f79a26d;item_afff35be6356ba55;item_74ffabc15f5e3c8b;item_667db3bd603c857a;item_c61f0c04fa88262b;item_377488d154e28934;item_973e1faed207875d;item_fdbc8ce2bb018a35;item_f1bbddd2572ff6d9;item_e7a153d97fb74681;item_53747ec26e9bd401;item_69326da3e4e69560;item_76bf9426ab0c6594;item_108358a94bea1294;item_6ac3b9e8377b1144;item_cc11435b63289fcf,item_108358a94bea1294
task_tr000030,"Love all the food here, everything is delicious & most of the dishes are just like mom used to make but with a flare of fusion! Can't go wrong with anything you choose if you love",t5,item_b919673cc030f093;item_2b7bb84ce1a8b397;item_470e1e9cccc0f8b5;item_6022a2971235e255;item_4eac7652041bcde7;item_43b7d69d47dd6752;item_cf4eb50f0b5ae6f8;item_aa0e3374fbd87ac3;item_a5e6838ed6972603;item_c408f7ed062f8379;item_1498185755f95646;item_7954157b2d7fcef4;item_8a538a4dc6dd7444;item_c728149d5c074a9f;item_b37b6aad51262f7a;item_194bbf0229e97759;item_2d3e41175e2249a5;item_9ad82355685439e9;item_4955549348eb6847;item_b3f451361d1920f1,item_aa0e3374fbd87ac3
task_tr000031,"It's an older hotel, so it's not your typical . Although it's not my favorite hotel in the chain, I really did enjoy my stay here and made the most of the pool, the h",t3,item_d427b06ae216eee6;item_7d81454cff9b6d3a;item_7feeaa254dcd4950;item_88feacb66fcf554c;item_21b0c87bbf896efa;item_d4be95fc78f9ccd2;item_fb741008b877051b;item_b0c48b0ebda15cfd;item_cd19fa9a6e4889de;item_3ec6a62fde238aa2;item_64a86d1bda1fa677;item_475645efeb07d9fb;item_2bbaf1854eca9a9e;item_cbb8c2dc96376639;item_db8a2bd3dce6d064;item_a25611116c251541;item_9da4b0fdac282d66;item_7d91530e121d5a2c;item_98a8325fb1671ba4;item_5c127ac41c6924d1,item_cbb8c2dc96376639
task_tr000032,"I was referred to one of the artists at of , Nicholas ""Devo"" Rogalski, by a friend. I contacted him at the end of June and we made plans to meet for a consultatio",t3,item_b88c57f7ad0c40ad;item_4004998d158470ec;item_396f3ae6d622de0f;item_75f6f05ba2fcc7df;item_3a1b452dfb6ec1b1;item_7ab0b73ebfae9e1c;item_88aa05efc84a018a;item_76d78c2a01a469b6;item_a6713039ae3017e5;item_d8e4c3f5f6455e55;item_eb10b3763361dd67;item_70403471d700d98f;item_35941c4f7cbacb32;item_cbc5a18d75731274;item_8e44028641d0b55e;item_a559ee6c74c65832;item_9d5f17354540caa2;item_a889e8ad13d6045f;item_760a6333331a630d;item_cbb415b9a6b952ca,item_75f6f05ba2fcc7df
task_tr000033,"Nicely curated and organized shop with accessible prices. However, the shop girl my group encountered was rude enough that we left without perusing the entire store. Not sure if",t1,item_b9db43280a2c44f0;item_6ae28c1ef7fab6d5;item_08382288e793bf47;item_4f26005f3085d198;item_b4b60dab59b40eb2;item_d04b1c58b2fdfacb;item_117b98637a79c871;item_78c709f4d32cbef4;item_3dbc1a2d59158b41;item_a821ad1591373d19;item_b4d3f62d065a720a;item_9be9afcd2d2f75b7;item_0229f05936d9678d;item_1c54f76434aa5f3a;item_0ad250776c34ad06;item_0745669d0e935c53;item_6c5fef240a01129f;item_0033a2efb001e1a8;item_86ba10ce9de95977;item_1fe8cf1c55155164,item_78c709f4d32cbef4
task_tr000034,I ordered through doordash so I can have the food once I get there. What I didnt realize is that the vegetables has onions and most of the vegetables were onions. When I got to the,t2,item_586843c9ae1697ce;item_ab6e033191fb1418;item_6da063cec608205c;item_086de13da889a00d;item_2c81928e7713333f;item_a1b3609a66426467;item_6cc1221266507a60;item_c789377fab598ca2;item_79d1b3e1b2327829;item_df0b66c112cdfba8;item_54737845c6eeeb53;item_4e3d9e710ea4c6bd;item_6cab2294725baca0;item_8354468cab6a9297;item_b2d236b317535887;item_1636e574e1b23aad;item_d50e961b53b21273;item_c841b1d8ec9149dc;item_abc0553a9a43c130;item_33fd68881b3173ce,item_6cab2294725baca0
task_tr000035,"Delicious seems a fitting word for what I ate at ... you know, since is a combination of Grill and Delicious. HA! But seriously, all jokes aside, I had a per",t5,item_9ad82355685439e9;item_07776dfe0d228941;item_bdda59e2c04cf3a9;item_ad32efeb1a9d99b4;item_113f5cd476d1248b;item_5d2a2dae151d2469;item_f5e31cee9990ba31;item_c6b7414f0dad8293;item_a67e5096addfe261;item_034c071bfcd56b9a;item_0ddb3d1e58def909;item_1e85100c07eebbd9;item_226c7e710452f2af;item_c08ec471956164d2;item_ca67eaab223e1fd8;item_9061a2cbdf055935;item_373a5a9445d7b3b8;item_1498185755f95646;item_ad04082fca5117bc;item_ea503dc44322601b,item_5d2a2dae151d2469
task_tr000036,"Fantastic barber shop kind of hiding behind T-Mobile in a shopping complex. We had Christian and highly recommend him. He does great work, is very personable, and takes his time to",t1,item_8a66abe48c8103a6;item_e1abd891015a548a;item_f93f369c54199b0b;item_905d87b3a392731b;item_4a0ce5044a85bbf0;item_ad6627e2eb1292b9;item_a312afbc730fd4ab;item_9e4c14c30b441faa;item_898c8d27d52160f4;item_d643d937a1a94186;item_e1f7f5634b1b9ecc;item_b63397170a1cf7ee;item_94f6dc34e637e83a;item_61abc8325b96b339;item_ac0c8d2da6b2c175;item_c7a2c67e2dbccb01;item_b5a78188c313d91b;item_da2a329849e10b3b;item_462ef252c299007e;item_220600005670095c,item_da2a329849e10b3b
task_tr000037,Had the chicken maroosh sandwich. So amazing! I like it because it has a very unique taste. It's really hard to find this particular type of sandwich anywhere else. Service was gre,t3,item_e9678ccff14939e5;item_98250e8c80c5c85e;item_346523dd652f1e2c;item_27ee06974487c84e;item_77cdf87435e399d5;item_53f8d2a82ff4c5ea;item_96746a8cac154d50;item_b23068d57443b487;item_25cab620f3f9ec5c;item_3b6c66182bb2514f;item_3543926fed3f1634;item_442628dfee7a9395;item_65b16192e225a5aa;item_ab1c6d704bb1809b;item_a31acede971b97ee;item_fa949d9b97bbccb7;item_36b596b0e614a5dc;item_893a28bde7dfd223;item_c0a529fdc0721965;item_a29ea1e7466f9f26,item_53f8d2a82ff4c5ea
task_tr000038,"Ever had a cheese steak you couldn't finish? Here you will. Dry meat, under seasoned, day old bread. Rude employees. Took 25 minutes for a busted steak. And believe me folks, I'm i",t2,item_eef53203e976432c;item_73f91483f2177e8c;item_2cd1e995c1b4018f;item_5bf34b86044d5a53;item_63e8c5d9fc0a04da;item_742d8534276f161b;item_693b649cd5e80538;item_2ae206929d19bca6;item_113b6478490759cb;item_9486b11651beaeee;item_26583d7ade0616e4;item_e965ddd23eef3984;item_a144a1f61991323a;item_4941f80dc32188e4;item_4ac22069c326c464;item_7d6ae74e6d33733d;item_a7cc0d9cc83aac4f;item_22f40063de859144;item_bc9e6bee7d16129a;item_5f5affd9e49968ca,item_742d8534276f161b
